episode,episode_seed,taskset_seed,scenario_seed,network_seed,exploration_seed,replay_seed,total_util,num_tasks,taskset_fingerprint,steps,step_count,selected_action_count,total_reward,epsilon,loss_mean,loss_last,accepted_actions,rejected_actions,noop_actions,explicit_noop_actions,noop_action_rate,explicit_noop_action_rate,accepted_action_rate,rejected_action_rate,safety_checked_actions,selected_invalid_mask_actions,action_space_type,action_count,budget_increase_ratio,budget_decrease_ratio,budget_floor_ratio,valid_action_count_mean,masked_action_count_mean,masked_decrease_hi_forbidden_count,masked_decrease_hi_forbidden_rate,masked_budget_floor_violation_count,masked_budget_floor_violation_rate,no_safe_action_steps,selected_explicit_noop_actions,selected_explicit_noop_rate,mode_changes,lo_cancellations,deadline_misses,job_starts,lo_overruns,hi_overruns,reward_job_start_sum,reward_lo_overrun_sum,reward_hi_overrun_sum,reward_mode_change_sum,reward_lo_cancellation_sum,reward_deadline_miss_sum,reward_paper_sum,reward_noop_bonus_sum,reward_budget_change_penalty_sum,reward_budget_change_norm_sum,reward_budget_drift_penalty_sum,reward_budget_drift_mean_sum,noop_exploration_prob,exploration_action_count,exploration_noop_action_count,exploration_noop_action_rate,observation_mode,state_dim,feature_safety_margin_min_mean,feature_safety_margin_min_p05
0,0,681,100000,0,0,0,0.65,12,1431ea4ab0bb,20,20,20,-11.175830248832122,0.9962,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.615384615384617,4.384615384615385,0,0.0,39,0.04,0,0,0.0,204,53,0,4598,53,204,0.0,-0.4571979207982292,-3.1230452543760716,-7.138389152859592,-0.4571979207982292,0.0,0.0,0.0,0.0,0.3970271030011383,0.0,0.15160779991643836,0.0,20,0,0.0,v11_no_util_9d,116,0.0,0.0
1,1,681,100001,0,0,0,0.65,12,1431ea4ab0bb,20,20,20,-11.438433491042394,0.9924,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,19.128205128205128,5.871794871794871,0,0.0,39,0.04,0,0,0.0,210,43,0,4547,43,210,0.0,-0.376030022822122,-3.252374526860306,-7.433998918537843,-0.376030022822122,0.0,0.0,0.0,0.0,0.39830084193147924,0.0,0.1386393176353508,0.0,20,0,0.0,v11_no_util_9d,116,0.0,0.0
2,2,681,100002,0,0,0,0.65,12,1431ea4ab0bb,20,20,20,-9.11222625426824,0.9886,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,18.512820512820515,6.487179487179487,0,0.0,43,0.0441025641025641,0,0,0.0,165,51,0,4631,51,165,0.0,-0.43804098827858695,-2.506652606259889,-5.729491671451176,-0.43804098827858695,0.0,0.0,0.0,0.0,0.44272595496101114,0.0,0.1101112545231697,0.0,20,0,0.0,v11_no_util_9d,116,0.0,0.0
3,3,681,100003,0,0,0,0.65,12,1431ea4ab0bb,20,20,20,-8.273474285477828,0.9848,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,18.05128205128205,6.948717948717949,0,0.0,39,0.04,0,0,0.0,148,58,0,4696,58,148,0.0,-0.49376178234632145,-2.2174632628476654,-5.068487457937519,-0.49376178234632145,0.0,0.0,0.0,0.0,0.45482398128679347,0.0,0.045443760781007106,0.0,20,0,0.0,v11_no_util_9d,116,0.0,0.0
4,4,681,100004,0,0,0,0.65,12,1431ea4ab0bb,20,20,20,-9.28379065205089,0.981,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,18.256410256410255,6.743589743589744,0,0.0,39,0.04,0,0,0.0,167,51,0,4589,51,167,0.0,-0.44056395489897776,-2.5573321389465447,-5.8453306033063885,-0.44056395489897776,0.0,0.0,0.0,0.0,0.4395567311179289,0.0,0.05758809027556555,0.0,20,0,0.0,v11_no_util_9d,116,0.0,0.0
5,5,681,100005,0,0,0,0.65,12,1431ea4ab0bb,20,20,20,-8.86153360576224,0.9772,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,18.0,7.0,0,0.0,39,0.04,0,0,0.0,156,64,0,4651,64,156,0.0,-0.548923241084006,-2.3628612984851993,-5.4008258251090275,-0.548923241084006,0.0,0.0,0.0,0.0,0.430203043834189,0.0,0.08612351407863764,0.0,18,0,0.0,v11_no_util_9d,116,0.0,0.0
6,6,681,100006,0,0,0,0.65,12,1431ea4ab0bb,20,20,20,-9.394794656396913,0.9734,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,18.256410256410255,6.743589743589744,0,0.0,39,0.04,0,0,0.0,169,53,0,4611,53,169,0.0,-0.4577724347694761,-2.58064123947851,-5.898608547379453,-0.4577724347694761,0.0,0.0,0.0,0.0,0.4141698182122278,0.0,0.08008717270470485,0.0,20,0,0.0,v11_no_util_9d,116,0.0,0.0
7,7,681,100007,0,0,0,0.65,12,1431ea4ab0bb,20,20,20,-11.763948738627573,0.9696,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.102564102564102,4.897435897435898,0,0.0,39,0.04,0,0,0.0,215,44,0,4530,44,215,0.0,-0.38243275596796217,-3.347547068993111,-7.651536157698539,-0.38243275596796217,0.0,0.0,0.0,0.0,0.4084247404032155,0.0,0.10385242123768702,0.0,20,0,0.0,v11_no_util_9d,116,0.0,0.0
8,8,681,100008,0,0,0,0.65,12,1431ea4ab0bb,20,20,20,-10.045872441288104,0.9658,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,19.58974358974359,5.410256410256411,0,0.0,39,0.04,0,0,0.0,180,61,0,4624,61,180,0.0,-0.5213974567973085,-2.740067073645845,-6.263010454047645,-0.5213974567973085,0.0,0.0,0.0,0.0,0.4224501888120833,0.0,0.13867694636885236,0.0,19,0,0.0,v11_no_util_9d,116,0.0,0.0
9,9,681,100009,0,0,0,0.65,12,1431ea4ab0bb,20,20,20,-9.47129880388631,0.962,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,18.871794871794872,6.128205128205129,0,0.0,39,0.04,0,0,0.0,169,55,0,4607,55,169,0.0,-0.47734688999130015,-2.592010224666346,-5.924594799237363,-0.47734688999130015,0.0,0.0,0.0,0.0,0.43003962510440563,0.0,0.14119706346756772,0.0,18,0,0.0,v11_no_util_9d,116,0.0,0.0
