method,method_label,sweep_value,util_level,util_sum,weighted_success_sum,taskset_count,success_count,schedulable_ratio,weighted_schedulability_at_util
amc_max,AMC-max,0.05,0.025,5.150775154323688,5.150775154323688,200,200,1.0,1.0
amc_max,AMC-max,0.05,0.05,10.07356157320267,10.07356157320267,200,200,1.0,1.0
amc_max,AMC-max,0.05,0.075,15.0434043963246,15.0434043963246,200,200,1.0,1.0
amc_max,AMC-max,0.05,0.1,20.033434849724042,20.033434849724042,200,200,1.0,1.0
amc_max,AMC-max,0.05,0.125,25.028879158423397,25.028879158423397,200,200,1.0,1.0
amc_max,AMC-max,0.05,0.15,30.03550192819835,30.03550192819835,200,200,1.0,1.0
amc_max,AMC-max,0.05,0.175,35.0207482666908,35.0207482666908,200,200,1.0,1.0
amc_max,AMC-max,0.05,0.2,40.01291481185509,40.01291481185509,200,200,1.0,1.0
amc_max,AMC-max,0.05,0.225,45.01771047158208,45.01771047158208,200,200,1.0,1.0
amc_max,AMC-max,0.05,0.25,50.01110616187902,50.01110616187902,200,200,1.0,1.0
amc_max,AMC-max,0.05,0.275,55.01374912511959,55.01374912511959,200,200,1.0,1.0
amc_max,AMC-max,0.05,0.3,60.01498862925155,60.01498862925155,200,200,1.0,1.0
amc_max,AMC-max,0.05,0.325,65.0155689397196,65.0155689397196,200,200,1.0,1.0
amc_max,AMC-max,0.05,0.35,70.01916245631176,70.01916245631176,200,200,1.0,1.0
amc_max,AMC-max,0.05,0.375,75.01429470481146,75.01429470481146,200,200,1.0,1.0
amc_max,AMC-max,0.05,0.4,80.01035417787244,80.01035417787244,200,200,1.0,1.0
amc_max,AMC-max,0.05,0.425,85.00718233545614,85.00718233545614,200,200,1.0,1.0
amc_max,AMC-max,0.05,0.45,90.01395769955089,90.01395769955089,200,200,1.0,1.0
amc_max,AMC-max,0.05,0.475,95.00575932667381,95.00575932667381,200,200,1.0,1.0
amc_max,AMC-max,0.05,0.5,100.01498087861673,100.01498087861673,200,200,1.0,1.0
amc_max,AMC-max,0.05,0.525,105.01841577701121,105.01841577701121,200,200,1.0,1.0
amc_max,AMC-max,0.05,0.55,110.00496092811977,110.00496092811977,200,200,1.0,1.0
amc_max,AMC-max,0.05,0.575,115.00983799283794,115.00983799283794,200,200,1.0,1.0
amc_max,AMC-max,0.05,0.6,120.01179642897297,120.01179642897297,200,200,1.0,1.0
