episode,episode_seed,taskset_seed,scenario_seed,network_seed,exploration_seed,replay_seed,total_util,num_tasks,taskset_fingerprint,steps,step_count,selected_action_count,total_reward,epsilon,loss_mean,loss_last,accepted_actions,rejected_actions,noop_actions,explicit_noop_actions,noop_action_rate,explicit_noop_action_rate,accepted_action_rate,rejected_action_rate,safety_checked_actions,selected_invalid_mask_actions,action_space_type,action_count,budget_increase_ratio,budget_decrease_ratio,budget_floor_ratio,valid_action_count_mean,masked_action_count_mean,masked_decrease_hi_forbidden_count,masked_decrease_hi_forbidden_rate,masked_budget_floor_violation_count,masked_budget_floor_violation_rate,no_safe_action_steps,selected_explicit_noop_actions,selected_explicit_noop_rate,mode_changes,lo_cancellations,deadline_misses,job_starts,lo_overruns,hi_overruns,reward_job_start_sum,reward_lo_overrun_sum,reward_hi_overrun_sum,reward_mode_change_sum,reward_lo_cancellation_sum,reward_deadline_miss_sum,reward_paper_sum,reward_noop_bonus_sum,reward_budget_change_penalty_sum,reward_budget_change_norm_sum,reward_budget_drift_penalty_sum,reward_budget_drift_mean_sum,noop_exploration_prob,exploration_action_count,exploration_noop_action_count,exploration_noop_action_rate,observation_mode,state_dim,feature_safety_margin_min_mean,feature_safety_margin_min_p05
0,0,825,100000,0,0,0,0.65,12,cd2bb6633393,20,20,20,-8.494510033611284,0.9962,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,21.615384615384617,3.3846153846153846,0,0.0,31,0.031794871794871796,0,0,0.0,499,137,0,14955,137,499,0.0,-0.36456198552244307,-2.3633783668680346,-5.402007695698364,-0.36456198552244307,0.0,0.0,0.0,0.0,0.8767664071792963,0.0,0.1698231975660262,0.0,20,0,0.0,v11_no_util_9d,116,0.005237315875613748,0.0
1,1,825,100001,0,0,0,0.65,12,cd2bb6633393,20,20,20,-12.92035471319233,0.9924,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,21.256410256410255,3.7435897435897436,0,0.0,45,0.046153846153846156,0,0,0.0,785,119,0,14785,119,785,0.0,-0.3209800066695637,-3.7369027347379307,-8.54149196511527,-0.3209800066695637,0.0,0.0,0.0,0.0,1.1788219728491274,0.0,0.1947409181576769,0.0,20,0,0.0,v11_no_util_9d,116,0.008437138339728272,0.0
2,2,825,100002,0,0,0,0.65,12,cd2bb6633393,20,20,20,-5.060055917998839,0.9886,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.53846153846154,4.461538461538462,0,0.0,33,0.033846153846153845,0,0,0.0,274,166,0,15107,166,274,0.0,-0.43905254925705883,-1.272767640712741,-2.909183178771979,-0.43905254925705883,0.0,0.0,0.0,0.0,1.1032007935125654,0.0,0.10655882523736247,0.0,20,0,0.0,v11_no_util_9d,116,0.0,0.0
3,3,825,100003,0,0,0,0.65,12,cd2bb6633393,20,20,20,-11.257009064939007,0.9848,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,18.17948717948718,6.82051282051282,0,0.0,51,0.052307692307692305,0,0,0.0,685,112,0,14880,112,685,0.0,-0.3004538341483712,-3.2431612946302546,-7.41294010201201,-0.3004538341483712,0.0,0.0,0.0,0.0,1.1965377212589736,0.0,0.16268576177368652,0.0,20,0,0.0,v11_no_util_9d,116,0.0012274959083469722,0.0
4,4,825,100004,0,0,0,0.65,12,cd2bb6633393,20,20,20,-7.6385837328651345,0.981,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.94871794871795,4.051282051282051,0,0.0,45,0.046153846153846156,0,0,0.0,440,151,0,14995,151,440,0.0,-0.4006362852429986,-2.0809207885501713,-4.756390373828964,-0.4006362852429986,0.0,0.0,0.0,0.0,0.8156332192266474,0.0,0.09898998505702546,0.0,20,0,0.0,v11_no_util_9d,116,0.0030158322779883793,0.0
5,5,825,100005,0,0,0,0.65,12,cd2bb6633393,20,20,20,-9.688214914746645,0.9772,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,19.564102564102566,5.435897435897436,0,0.0,47,0.048205128205128206,0,0,0.0,582,123,0,14944,123,582,0.0,-0.3277324784158754,-2.7490978132784454,-6.283652144636448,-0.3277324784158754,0.0,0.0,0.0,0.0,1.2010436188533415,0.0,0.18553468702378945,0.0,19,0,0.0,v11_no_util_9d,116,0.0018818480528729029,0.0
6,6,825,100006,0,0,0,0.65,12,cd2bb6633393,20,20,20,-9.038645715177756,0.9734,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.487179487179485,4.512820512820513,0,0.0,21,0.021538461538461538,0,0,0.0,533,144,0,14976,144,533,0.0,-0.3830865661766283,-2.517709046946587,-5.754763535877913,-0.3830865661766283,0.0,0.0,0.0,0.0,1.3685920540991046,0.0,0.15142517636087427,0.0,19,0,0.0,v11_no_util_9d,116,0.0048735900100555785,0.0
7,7,825,100007,0,0,0,0.65,12,cd2bb6633393,20,20,20,-8.378714072597974,0.9696,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,19.615384615384617,5.384615384615385,0,0.0,45,0.046153846153846156,0,0,0.0,466,218,0,15018,218,466,0.0,-0.5788388891584604,-2.197706698259451,-5.023329596021601,-0.5788388891584604,0.0,0.0,0.0,0.0,1.8618048983857063,0.0,0.2548393651757603,0.0,20,0,0.0,v11_no_util_9d,116,0.003524892560686042,0.0
8,8,825,100008,0,0,0,0.65,12,cd2bb6633393,20,20,20,-8.51967219370734,0.9658,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.025641025641026,4.9743589743589745,0,0.0,41,0.04205128205128205,0,0,0.0,500,146,0,14981,146,500,0.0,-0.3880357799721984,-2.356748018971331,-5.3868526147916125,-0.3880357799721984,0.0,0.0,0.0,0.0,1.2967666379780134,0.0,0.1956630591142234,0.0,20,0,0.0,v11_no_util_9d,116,0.005655526992287917,0.0
9,9,825,100009,0,0,0,0.65,12,cd2bb6633393,20,20,20,-9.842881693946984,0.962,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.53846153846154,4.461538461538462,0,0.0,75,0.07692307692307693,0,0,0.0,570,191,0,14973,191,570,0.0,-0.5097416404168832,-2.6853821257301096,-6.138016287383106,-0.5097416404168832,0.0,0.0,0.0,0.0,1.237426905160829,0.0,0.25746438671405864,0.0,20,0,0.0,v11_no_util_9d,116,0.0049284662882766155,0.0
